Név,Dátum,Utolsó ár,Forgalom (db),Forgalom (HUF érték),Forgalom (EUR érték),Kötések száma,Nyitó ár,Minimum ár,Maximum ár,Deviza,Átlag ár,Kapitalizáció
4IG,2024.04.11.,810.0,348354.0,2.82625685E8,723271.7908690757,330,815.0,807.0,820.0,HUF,811.317467289022,2.4225072894E11
4IG,2024.04.12.,803.0,82603.0,6.6698282E7,170252.91505003063,180,810.0,800.0,815.0,HUF,807.4559277508081,2.40157204122E11
4IG,2024.04.15.,812.0,64177.0,5.179309E7,131772.26815926726,122,807.0,803.0,814.0,HUF,807.0350748710597,2.42848878888E11
4IG,2024.04.16.,809.0,36385.0,2.9326653E7,74267.25334278768,103,812.0,801.0,812.0,HUF,806.00942696166,2.41951653966E11
4IG,2024.04.17.,815.0,42957.0,3.4906008E7,88729.04931367566,115,809.0,805.0,819.0,HUF,812.5802081150919,2.4374610381E11
4IG,2024.04.18.,815.0,49485.0,4.0029326E7,101659.19849654612,70,815.0,800.0,818.0,HUF,808.9183793068606,2.4374610381E11
4IG,2024.04.19.,817.0,182379.0,1.47771372E8,374047.921834658,191,804.0,803.0,820.0,HUF,810.2433503857352,2.44344253758E11
4IG,2024.04.22.,812.0,274210.0,2.21997591E8,562261.2035559608,282,818.0,800.0,820.0,HUF,809.5896976769629,2.42848878888E11
4IG,2024.04.23.,812.0,21339.0,1.7277675E7,43823.04824227667,57,810.0,804.0,812.0,HUF,809.6759454519893,2.42848878888E11
4IG,2024.04.24.,810.0,21804.0,1.7642567E7,44833.84666209245,57,810.0,806.0,818.0,HUF,809.1435975050449,2.4225072894E11
4IG,2024.04.25.,809.0,17749.0,1.432818E7,36465.8963656724,45,805.0,804.0,810.0,HUF,807.2668882753958,2.41951653966E11
4IG,2024.04.26.,810.0,24702.0,1.9937706E7,50743.697029854164,49,810.0,804.0,811.0,HUF,807.1292203060481,2.4225072894E11
4IG,2024.04.29.,811.0,82299.0,6.6337481E7,169232.58501492385,126,811.0,800.0,811.0,HUF,806.0545207110657,2.42549803914E11
4IG,2024.04.30.,810.0,161318.0,1.29873083E8,332122.2458060556,201,804.0,797.0,811.0,HUF,805.0749637362229,2.4225072894E11
4IG,2024.05.02.,799.0,63402.0,5.0637919E7,129977.46092045485,147,805.0,793.0,809.0,HUF,798.6801520456768,2.38960904226E11
4IG,2024.05.03.,805.0,43492.0,3.4832881E7,89363.19813232766,112,799.0,795.0,808.0,HUF,800.9031775958797,2.4075535407E11
4IG,2024.05.06.,804.0,23291.0,1.8684993E7,47956.965761511216,74,805.0,800.0,808.0,HUF,802.2409085054313,2.40456279096E11
4IG,2024.05.07.,805.0,72388.0,5.8100334E7,149335.151390531,112,803.0,794.0,807.0,HUF,802.6238326794496,2.4075535407E11
4IG,2024.05.08.,805.0,34612.0,2.777492E7,71285.3733028771,98,804.0,799.0,807.0,HUF,802.4650410262336,2.4075535407E11
4IG,2024.05.09.,805.0,38155.0,3.0570054E7,78715.76372437945,91,804.0,798.0,805.0,HUF,801.2070239811296,2.4075535407E11
4IG,2024.05.10.,,,,,,,,,,,
AKKO,2024.04.11.,246.0,37364.0,9175431.0,23480.988330433003,24,248.0,240.0,248.0,HUF,245.5687560218392,8.2053792E9
AKKO,2024.04.12.,245.0,25118.0,6140009.0,15672.883908515418,19,245.0,242.0,246.0,HUF,244.44657217931365,8.172024E9
